N,P,K,temperature,humidity,ph,rainfall,soil_type,season,district,region,label
20.0,47.86,38.59,26.5,72.93,6.55,378.61,Sandy,Kharif,Tumakuru,South Karnataka,mungbean
95.62,40.27,89.99,23.27,62.64,6.68,297.85,Loamy,Rabi,Kolar,South Karnataka,tomato
96.52,52.6,50.0,24.66,42.84,6.1,155.64,Red,Rabi,Gadag,North Karnataka,onion
84.51,46.12,30.29,28.38,60.55,6.02,434.89,Red,Kharif,Koppala,North Karnataka,bajra
72.01,42.82,63.56,29.47,39.74,6.94,63.71,Black,Zaid,Vijayapura,North Karnataka,watermelon
157.21,47.23,141.5,23.88,86.73,5.9,1881.28,Laterite,Kharif,Shivamogga,Malnad,coconut
21.77,47.56,34.94,26.39,69.82,6.92,399.48,Black,Kharif,Vijayapura,North Karnataka,blackgram
52.26,20.0,62.21,27.38,71.07,5.22,95.06,Laterite,Zaid,Uttara Kannada,Coastal Karnataka,cashew
20.88,48.53,72.31,32.46,60.34,6.3,398.66,Red,Kharif,Koppala,North Karnataka,groundnut
64.89,37.08,65.27,25.89,40.29,6.05,94.54,Loamy,Zaid,Dharwad,North Karnataka,mango
82.84,50.36,44.28,26.49,56.42,6.42,136.86,Red,Rabi,Bagalkote,North Karnataka,sunflower
17.83,42.97,38.01,29.39,66.52,7.33,443.71,Black,Kharif,Raichur,North Karnataka,blackgram
69.4,38.61,66.37,32.93,80.13,6.5,201.67,Alluvial,Rabi,Uttara Kannada,Coastal Karnataka,cashew
15.14,52.99,73.38,32.99,68.6,6.02,196.82,Red,Rabi,Chikkamagaluru,Malnad,groundnut
87.98,59.96,42.11,27.12,57.84,6.24,391.46,Red,Kharif,Vijayapura,North Karnataka,sunflower
15.2,43.08,77.72,29.59,49.53,6.27,149.49,Red,Rabi,Mandya,South Karnataka,groundnut
108.41,58.75,41.52,26.83,80.0,6.4,274.26,Red,Kharif,Mysuru,South Karnataka,rice
156.46,66.52,157.93,29.1,86.66,7.2,2741.16,Alluvial,Kharif,Udupi,Coastal Karnataka,coconut
21.79,54.25,30.58,29.61,39.28,6.16,189.22,Red,Rabi,Raichur,North Karnataka,pigeonpeas
40.0,21.54,34.37,25.33,30.36,5.6,133.41,Red,Rabi,Yadgir,North Karnataka,jowar
60.0,41.6,60.0,26.63,69.22,7.3,690.39,Loamy,Kharif,Haveri,North Karnataka,cotton
120.34,40.96,182.88,20.73,78.62,6.9,199.94,Black,Rabi,Haveri,North Karnataka,banana
93.99,59.94,95.73,26.6,76.19,6.33,1371.4,Red,Kharif,Chikkamagaluru,Malnad,ginger
88.81,38.62,115.19,26.58,72.13,6.38,107.57,Loamy,Zaid,Hassan,Malnad,cardamom
62.95,33.84,73.86,24.31,49.44,7.15,367.85,Loamy,Kharif,Tumakuru,South Karnataka,mango
76.16,35.18,65.7,28.14,69.41,6.69,155.85,Alluvial,Zaid,Mysuru,South Karnataka,sapota
96.66,57.95,88.37,26.49,83.72,5.82,3121.33,Laterite,Kharif,Dakshina Kannada,Coastal Karnataka,ginger
125.62,37.25,124.16,16.82,73.01,6.48,187.56,Loamy,Rabi,Chikkamagaluru,Malnad,coffee
83.83,60.48,68.83,24.29,74.55,6.36,488.76,Red,Kharif,Ramanagara,South Karnataka,tomato
19.68,34.51,22.76,32.89,55.88,5.83,295.46,Sandy,Rabi,Chikkaballapura,South Karnataka,horsegram
150.01,38.67,127.32,19.67,73.69,5.7,200.27,Red,Rabi,Chikkamagaluru,Malnad,coffee
60.0,39.91,24.94,29.92,35.57,6.9,142.28,Black,Rabi,Kalaburagi,North Karnataka,sesame
153.99,49.56,122.94,27.07,84.08,5.65,2682.99,Laterite,Kharif,Uttara Kannada,Coastal Karnataka,arecanut
70.32,20.0,70.4,25.23,88.96,5.97,3046.65,Laterite,Kharif,Dakshina Kannada,Coastal Karnataka,cashew
40.0,41.56,47.68,24.0,69.43,6.12,599.12,Loamy,Kharif,Belagavi,North Karnataka,kidneybeans
40.65,23.76,71.73,25.77,71.67,6.82,392.21,Sandy,Kharif,Tumakuru,South Karnataka,guava
18.13,38.21,35.31,34.31,63.14,6.48,532.48,Red,Kharif,Kalaburagi,North Karnataka,mungbean
72.58,20.29,118.59,24.92,59.68,6.49,156.41,Red,Rabi,Ramanagara,South Karnataka,mango
20.0,42.91,48.69,26.26,60.0,6.79,407.82,Sandy,Kharif,Raichur,North Karnataka,mungbean
78.2,40.6,99.35,26.13,77.24,6.31,1529.9,Loamy,Kharif,Chikkamagaluru,Malnad,pepper
178.19,45.55,116.0,25.13,73.61,5.76,116.19,Red,Zaid,Chikkamagaluru,Malnad,coffee
20.0,55.74,25.09,29.23,50.86,6.4,239.66,Sandy,Rabi,Raichur,North Karnataka,pigeonpeas
161.27,67.67,197.25,29.7,84.13,6.5,323.73,Alluvial,Rabi,Udupi,Coastal Karnataka,arecanut
61.28,31.0,135.31,23.94,75.0,5.82,122.9,Laterite,Zaid,Shivamogga,Malnad,pepper
113.07,66.87,164.14,23.95,82.46,5.64,173.96,Laterite,Rabi,Uttara Kannada,Coastal Karnataka,coconut
136.47,44.82,83.0,23.03,66.35,6.67,210.06,Alluvial,Rabi,Mysuru,South Karnataka,mulberry
233.72,61.04,155.23,26.27,82.43,6.64,199.58,Sandy,Rabi,Raichur,North Karnataka,sugarcane
110.09,52.0,62.68,22.71,69.33,6.06,203.36,Sandy,Rabi,Tumakuru,South Karnataka,tomato
80.18,50.0,61.76,24.93,58.5,7.28,245.66,Black,Rabi,Koppala,North Karnataka,chilli
72.94,38.79,35.39,28.34,64.11,6.74,395.08,Black,Kharif,Dharwad,North Karnataka,jowar
52.13,28.21,65.34,23.75,76.76,6.5,149.47,Sandy,Zaid,Chitradurga,South Karnataka,guava
223.08,73.52,119.46,32.75,60.44,6.05,470.37,Red,Kharif,Raichur,North Karnataka,sugarcane
79.1,35.08,20.77,29.33,63.48,7.39,546.65,Black,Kharif,Yadgir,North Karnataka,jowar
40.0,21.7,32.86,31.43,59.05,5.86,426.84,Red,Kharif,Vijayapura,North Karnataka,jowar
85.65,34.55,98.71,26.62,57.31,7.05,492.02,Loamy,Kharif,Ramanagara,South Karnataka,mango
104.71,35.1,109.96,22.32,77.83,6.24,242.59,Loamy,Rabi,Chikkamagaluru,Malnad,pepper
72.16,45.26,45.38,29.87,53.69,6.9,413.66,Sandy,Kharif,Ballari,North Karnataka,sunflower
109.93,46.85,91.34,25.2,77.54,6.43,154.99,Red,Rabi,Hassan,Malnad,mulberry
64.11,38.21,75.93,26.3,44.25,6.55,123.47,Sandy,Zaid,Tumakuru,South Karnataka,mango
172.74,54.81,180.1,26.05,78.34,5.88,112.77,Laterite,Zaid,Dakshina Kannada,Coastal Karnataka,arecanut
113.82,33.77,110.77,25.42,46.63,6.69,620.45,Loamy,Kharif,Chamarajanagara,South Karnataka,mango
109.14,47.84,98.25,22.2,78.14,7.11,138.96,Laterite,Rabi,Hassan,Malnad,mulberry
18.77,46.78,61.25,27.42,51.08,6.38,217.69,Red,Rabi,Raichur,North Karnataka,groundnut
17.37,22.24,29.72,21.64,59.94,6.51,223.99,Sandy,Rabi,Chikkaballapura,South Karnataka,horsegram
17.49,45.09,37.83,25.43,59.55,6.48,408.84,Red,Kharif,Ballari,North Karnataka,pigeonpeas
108.53,22.99,112.53,26.03,60.0,5.79,427.23,Red,Kharif,Kolar,South Karnataka,mango
124.2,74.35,188.58,27.29,89.91,5.71,555.25,Laterite,Kharif,Kodagu,Malnad,arecanut
90.59,42.93,87.61,28.24,40.16,6.53,77.45,Loamy,Zaid,Bagalkote,North Karnataka,watermelon
65.77,38.9,107.3,20.03,54.18,6.94,357.45,Black,Rabi,Davanagere,North Karnataka,tobacco
258.88,65.79,150.69,28.58,75.84,6.98,419.53,Loamy,Kharif,Mandya,South Karnataka,sugarcane
116.77,47.06,42.03,23.31,55.9,5.53,168.24,Sandy,Rabi,Tumakuru,South Karnataka,maize
60.0,46.63,80.02,21.07,80.78,6.15,521.08,Loamy,Kharif,Kodagu,Malnad,ginger
164.57,34.23,85.38,22.54,73.44,6.13,125.97,Loamy,Zaid,Shivamogga,Malnad,coffee
57.96,39.08,40.0,27.91,58.89,7.49,1237.95,Loamy,Kharif,Chikkamagaluru,Malnad,jowar
77.76,36.13,68.47,28.03,67.43,7.28,85.06,Black,Zaid,Bagalkote,North Karnataka,sapota
125.53,44.84,64.8,25.42,60.26,6.9,247.43,Sandy,Rabi,Chikkaballapura,South Karnataka,mulberry
40.0,23.28,34.36,32.18,55.81,6.29,1377.42,Red,Kharif,Chitradurga,South Karnataka,ragi
74.38,36.94,76.95,32.53,61.46,6.62,1415.84,Black,Kharif,Chitradurga,South Karnataka,sapota
69.11,36.72,69.19,27.43,84.63,6.5,1891.12,Alluvial,Kharif,Shivamogga,Malnad,cashew
108.14,34.29,111.69,34.67,53.18,6.91,248.31,Loamy,Zaid,Kolar,South Karnataka,mango
101.09,79.88,166.98,24.72,80.28,6.28,182.98,Red,Rabi,Tumakuru,South Karnataka,banana
40.31,37.8,40.0,21.81,52.75,6.22,1864.9,Loamy,Kharif,Shivamogga,Malnad,ragi
64.8,45.16,60.0,25.23,55.77,7.18,441.55,Black,Kharif,Dharwad,North Karnataka,sunflower
48.08,32.1,50.78,25.51,66.88,6.21,179.39,Loamy,Rabi,Chikkamagaluru,Malnad,cashew
81.28,43.86,59.05,28.18,62.9,6.12,1242.76,Red,Kharif,Chitradurga,South Karnataka,sunflower
79.54,38.04,27.91,28.54,66.54,7.15,330.37,Alluvial,Kharif,Mandya,South Karnataka,ragi
132.88,56.32,166.23,27.05,83.13,6.11,238.18,Red,Rabi,Chitradurga,South Karnataka,papaya
106.55,41.1,43.49,27.79,80.5,6.3,643.46,Loamy,Kharif,Kodagu,Malnad,rice
65.1,55.04,62.79,34.43,37.16,6.61,221.8,Black,Zaid,Raichur,North Karnataka,muskmelon
64.03,38.74,24.0,26.84,44.16,7.07,197.11,Black,Rabi,Koppala,North Karnataka,jowar
181.19,51.08,194.57,26.82,78.94,6.04,345.97,Red,Kharif,Tumakuru,South Karnataka,papaya
85.71,53.84,44.13,28.35,83.06,6.01,441.03,Sandy,Kharif,Raichur,North Karnataka,rice
17.39,46.26,77.17,28.27,67.86,6.55,351.96,Loamy,Kharif,Mandya,South Karnataka,groundnut
61.24,33.95,108.6,25.9,70.62,5.83,135.79,Laterite,Rabi,Kodagu,Malnad,cardamom
170.5,69.68,120.7,25.09,93.72,5.72,115.38,Red,Zaid,Tumakuru,South Karnataka,coconut
18.52,53.55,65.05,33.73,55.57,6.48,162.74,Sandy,Rabi,Tumakuru,South Karnataka,groundnut
18.8,43.38,22.66,27.18,45.83,6.5,184.99,Sandy,Rabi,Raichur,North Karnataka,chickpea
20.0,57.61,25.72,24.72,44.85,6.79,228.96,Sandy,Rabi,Chitradurga,South Karnataka,pigeonpeas
105.36,44.22,130.41,26.75,71.26,6.93,1662.38,Black,Kharif,Chitradurga,South Karnataka,coconut
78.77,30.5,66.81,23.24,78.72,6.86,314.34,Sandy,Kharif,Tumakuru,South Karnataka,guava
110.95,22.6,83.0,28.16,41.8,6.37,86.19,Red,Zaid,Bagalkote,North Karnataka,mango
116.83,41.07,183.64,29.14,76.48,6.82,220.55,Black,Zaid,Raichur,North Karnataka,papaya
16.89,23.83,30.0,22.86,58.78,6.46,123.07,Red,Rabi,Chamarajanagara,South Karnataka,horsegram
67.33,28.87,68.15,24.98,58.39,6.02,289.07,Sandy,Rabi,Chikkaballapura,South Karnataka,mango
60.0,54.41,80.44,20.12,76.16,6.37,590.08,Loamy,Kharif,Kodagu,Malnad,ginger
64.11,46.89,100.24,26.04,75.0,6.17,97.95,Red,Zaid,Chikkamagaluru,Malnad,pepper
64.98,42.34,78.44,24.39,85.82,5.8,353.61,Red,Kharif,Hassan,Malnad,ginger
182.87,42.57,182.96,31.56,73.48,6.24,152.66,Red,Zaid,Mysuru,South Karnataka,papaya
88.52,40.62,53.03,24.21,88.64,5.61,1975.0,Laterite,Kharif,Shivamogga,Malnad,rice
22.09,46.47,20.45,33.2,65.76,7.05,350.3,Black,Kharif,Bagalkote,North Karnataka,pigeonpeas
91.52,51.13,40.58,27.44,81.56,5.61,527.63,Laterite,Kharif,Kodagu,Malnad,rice
19.86,42.11,76.78,31.71,56.82,6.69,143.69,Black,Rabi,Vijayapura,North Karnataka,groundnut
155.76,41.97,149.04,29.72,72.79,5.99,72.29,Laterite,Zaid,Kodagu,Malnad,arecanut
23.79,54.51,62.25,29.08,59.36,6.11,195.52,Red,Rabi,Tumakuru,South Karnataka,groundnut
105.57,56.23,47.02,19.67,78.69,5.93,157.33,Laterite,Rabi,Hassan,Malnad,maize
69.29,38.57,65.44,26.18,57.81,6.77,126.2,Black,Rabi,Bagalkote,North Karnataka,guava
97.88,47.05,97.63,26.92,90.85,5.77,2844.74,Laterite,Kharif,Uttara Kannada,Coastal Karnataka,pepper
43.16,33.56,45.3,35.43,68.08,6.74,151.63,Loamy,Zaid,Mysuru,South Karnataka,sapota
103.78,44.42,196.91,22.91,79.89,6.5,305.61,Alluvial,Rabi,Udupi,Coastal Karnataka,arecanut
100.75,23.81,97.88,26.98,41.95,5.74,109.38,Red,Zaid,Dharwad,North Karnataka,mango
22.19,43.92,20.06,20.83,34.03,6.98,232.88,Black,Rabi,Raichur,North Karnataka,pigeonpeas
175.62,47.38,171.67,30.12,79.64,5.87,85.58,Alluvial,Zaid,Mandya,South Karnataka,banana
194.21,51.93,178.12,29.76,74.41,5.54,113.93,Laterite,Zaid,Uttara Kannada,Coastal Karnataka,coconut
19.32,47.86,62.79,25.11,52.86,6.83,127.91,Black,Rabi,Vijayapura,North Karnataka,groundnut
40.0,20.54,49.99,26.83,57.76,6.5,143.37,Red,Zaid,Mysuru,South Karnataka,guava
25.11,41.44,40.0,25.21,45.21,6.64,144.5,Loamy,Rabi,Bagalkote,North Karnataka,chickpea
81.77,59.52,59.36,23.51,63.4,6.25,282.67,Loamy,Kharif,Mysuru,South Karnataka,onion
88.48,51.09,40.93,27.39,69.45,5.8,347.13,Red,Kharif,Bagalkote,North Karnataka,maize
214.1,94.06,135.79,25.32,63.42,7.07,153.28,Alluvial,Rabi,Mandya,South Karnataka,sugarcane
185.96,40.23,182.62,25.08,79.9,6.09,140.83,Red,Rabi,Mandya,South Karnataka,banana
182.97,41.31,161.16,24.16,84.31,6.03,215.99,Loamy,Rabi,Mysuru,South Karnataka,banana
74.77,47.14,72.68,27.39,59.44,6.75,489.49,Sandy,Kharif,Raichur,North Karnataka,chilli
64.97,49.0,63.6,25.61,57.45,6.54,570.91,Black,Kharif,Gadag,North Karnataka,onion
73.76,50.41,50.0,23.66,51.21,6.36,214.59,Red,Rabi,Raichur,North Karnataka,chilli
118.11,41.26,54.81,23.82,70.69,6.64,180.54,Loamy,Rabi,Shivamogga,Malnad,maize
73.56,43.96,60.0,21.05,58.99,6.69,159.45,Black,Rabi,Gadag,North Karnataka,sunflower
80.53,42.14,68.47,29.07,66.0,6.26,436.39,Red,Kharif,Vijayapura,North Karnataka,cotton
76.29,40.74,50.0,20.46,57.83,6.3,220.28,Red,Rabi,Chitradurga,South Karnataka,onion
81.29,46.6,50.59,25.93,81.4,6.78,3581.33,Alluvial,Kharif,Dakshina Kannada,Coastal Karnataka,rice
19.41,57.6,70.11,29.56,54.88,6.1,235.36,Red,Rabi,Chitradurga,South Karnataka,groundnut
63.56,42.5,60.0,25.17,50.7,6.77,447.67,Black,Kharif,Davanagere,North Karnataka,sunflower
150.78,52.1,113.84,27.41,60.0,6.1,139.8,Red,Rabi,Bagalkote,North Karnataka,papaya
178.62,45.93,140.0,25.08,76.55,5.53,302.64,Laterite,Rabi,Udupi,Coastal Karnataka,arecanut
34.05,49.7,42.27,24.0,66.97,7.07,347.04,Black,Kharif,Dharwad,North Karnataka,kidneybeans
147.81,51.92,185.33,26.09,84.6,6.48,1394.43,Red,Kharif,Chitradurga,South Karnataka,banana
76.44,38.99,33.25,28.39,60.98,7.31,667.35,Black,Kharif,Belagavi,North Karnataka,jowar
75.09,38.8,36.47,27.66,44.47,7.26,164.91,Black,Rabi,Kalaburagi,North Karnataka,jowar
107.34,42.66,173.05,22.83,75.6,6.61,176.01,Alluvial,Rabi,Uttara Kannada,Coastal Karnataka,coconut
63.81,20.0,56.61,24.13,84.22,5.48,283.4,Laterite,Rabi,Udupi,Coastal Karnataka,cashew
76.89,53.55,84.53,20.08,86.97,6.31,1627.51,Red,Kharif,Chikkamagaluru,Malnad,cardamom
71.74,24.65,109.22,30.79,44.19,6.34,54.12,Red,Zaid,Vijayapura,North Karnataka,mango
65.83,45.14,85.95,30.45,37.93,6.21,54.62,Red,Zaid,Vijayapura,North Karnataka,watermelon
136.64,50.27,180.17,23.4,76.12,6.5,168.3,Alluvial,Rabi,Uttara Kannada,Coastal Karnataka,arecanut
151.29,52.83,167.68,24.36,91.92,6.72,2260.29,Alluvial,Kharif,Uttara Kannada,Coastal Karnataka,coconut
199.57,46.55,143.53,22.67,64.63,6.3,295.31,Red,Kharif,Mysuru,South Karnataka,papaya
18.88,58.41,66.9,27.59,54.56,6.56,332.67,Black,Kharif,Ballari,North Karnataka,groundnut
105.47,38.41,110.29,21.29,71.61,6.44,112.56,Loamy,Rabi,Kodagu,Malnad,coffee
58.26,38.68,40.0,25.17,65.0,7.35,227.06,Loamy,Rabi,Chikkamagaluru,Malnad,jowar
68.17,21.27,96.75,25.16,62.39,5.79,241.43,Red,Rabi,Mysuru,South Karnataka,tobacco
68.79,53.08,50.0,21.02,56.65,6.2,138.87,Red,Rabi,Bagalkote,North Karnataka,chilli
60.01,22.68,114.9,24.99,57.69,5.76,143.91,Red,Rabi,Dharwad,North Karnataka,mango
167.51,69.69,133.43,31.62,70.98,5.65,101.37,Laterite,Zaid,Hassan,Malnad,arecanut
112.04,42.7,126.04,31.87,70.64,5.65,140.35,Red,Zaid,Chitradurga,South Karnataka,coconut
81.72,58.58,40.53,28.98,57.41,6.18,385.19,Red,Kharif,Koppala,North Karnataka,sunflower
134.82,72.98,174.81,30.63,83.91,6.17,89.98,Red,Zaid,Belagavi,North Karnataka,banana
19.31,44.89,30.55,26.26,60.47,7.07,538.89,Black,Kharif,Kalaburagi,North Karnataka,mungbean
67.15,38.46,90.74,25.5,47.78,6.52,475.19,Loamy,Kharif,Ramanagara,South Karnataka,mango
80.0,40.2,60.0,25.61,57.61,7.07,157.01,Black,Rabi,Dharwad,North Karnataka,maize
80.93,45.38,106.27,26.58,83.9,5.8,337.79,Laterite,Rabi,Udupi,Coastal Karnataka,pepper
40.0,22.47,39.66,29.16,47.32,5.67,473.1,Red,Kharif,Kalaburagi,North Karnataka,jowar
80.7,59.9,41.47,21.23,67.57,5.67,203.82,Sandy,Rabi,Tumakuru,South Karnataka,maize
119.25,77.06,74.99,23.0,61.64,6.08,124.3,Red,Rabi,Ramanagara,South Karnataka,tomato
60.0,41.08,60.0,26.69,55.49,6.09,388.43,Loamy,Kharif,Bagalkote,North Karnataka,cotton
162.13,68.75,128.85,27.42,85.46,5.54,597.58,Laterite,Kharif,Kodagu,Malnad,coconut
70.09,48.66,64.83,28.21,66.21,6.62,405.07,Black,Kharif,Koppala,North Karnataka,cotton
15.36,48.97,49.89,27.32,73.88,6.8,356.03,Black,Kharif,Koppala,North Karnataka,mungbean
66.44,37.92,69.02,24.72,76.08,6.5,161.37,Alluvial,Rabi,Dakshina Kannada,Coastal Karnataka,cashew
97.87,40.78,69.31,18.5,56.57,6.4,218.54,Loamy,Rabi,Mysuru,South Karnataka,tomato
104.31,47.6,123.12,24.11,74.21,5.97,102.06,Laterite,Zaid,Chikkamagaluru,Malnad,arecanut
116.61,49.82,170.46,30.19,75.0,6.84,336.03,Black,Kharif,Dharwad,North Karnataka,banana
82.89,49.83,55.91,22.2,73.58,6.6,364.13,Alluvial,Kharif,Mandya,South Karnataka,maize
139.18,39.24,108.8,22.4,73.44,5.65,90.6,Red,Zaid,Hassan,Malnad,coffee
180.24,53.65,134.61,29.22,70.51,6.51,139.9,Loamy,Zaid,Tumakuru,South Karnataka,coconut
19.0,46.53,24.02,18.34,47.4,6.95,163.37,Black,Rabi,Gadag,North Karnataka,chickpea
19.44,53.51,70.18,27.1,63.92,6.78,509.28,Black,Kharif,Kalaburagi,North Karnataka,groundnut
68.7,46.22,61.73,35.53,35.04,6.88,77.13,Black,Zaid,Bagalkote,North Karnataka,muskmelon
143.07,57.39,94.64,20.4,65.99,6.45,321.17,Sandy,Rabi,Kolar,South Karnataka,mulberry
23.07,29.17,28.08,24.41,51.32,5.51,121.57,Loamy,Rabi,Chamarajanagara,South Karnataka,horsegram
77.69,37.06,61.93,31.37,79.33,7.09,180.01,Black,Zaid,Chitradurga,South Karnataka,sapota
91.12,56.24,50.0,26.35,64.31,6.24,476.04,Red,Kharif,Gadag,North Karnataka,onion
80.92,41.14,78.43,21.08,68.73,6.35,193.36,Loamy,Rabi,Tumakuru,South Karnataka,tomato
41.8,29.2,41.53,34.88,65.56,6.25,124.76,Loamy,Zaid,Shivamogga,Malnad,cashew
84.06,49.47,47.53,24.67,91.66,6.88,3256.07,Alluvial,Kharif,Udupi,Coastal Karnataka,rice
111.97,55.77,79.33,22.0,65.91,6.98,188.53,Sandy,Rabi,Tumakuru,South Karnataka,mulberry
198.69,70.18,145.14,27.31,80.76,5.58,138.03,Sandy,Zaid,Tumakuru,South Karnataka,coconut
69.94,46.15,119.69,30.29,73.82,6.07,116.62,Loamy,Zaid,Hassan,Malnad,cardamom
185.75,41.91,109.74,23.18,61.82,6.17,161.74,Red,Rabi,Tumakuru,South Karnataka,papaya
68.25,20.0,53.82,28.25,83.8,5.26,3300.17,Laterite,Kharif,Dakshina Kannada,Coastal Karnataka,cashew
90.28,56.67,40.57,20.57,51.56,6.45,235.35,Red,Rabi,Haveri,North Karnataka,maize
100.7,56.14,138.78,28.93,70.9,7.02,167.83,Alluvial,Rabi,Dakshina Kannada,Coastal Karnataka,coconut
40.0,22.9,34.01,25.76,49.28,6.04,143.78,Red,Rabi,Dharwad,North Karnataka,jowar
23.19,41.19,40.0,26.09,87.24,6.04,407.04,Loamy,Kharif,Hassan,Malnad,blackgram
117.41,42.93,196.44,31.42,75.18,6.01,61.44,Black,Zaid,Vijayapura,North Karnataka,banana
40.0,21.6,35.15,30.83,62.53,6.17,350.14,Red,Kharif,Vijayapura,North Karnataka,jowar
85.12,56.55,48.72,20.01,43.0,6.05,189.29,Red,Rabi,Koppala,North Karnataka,sunflower
78.47,39.91,110.33,26.72,87.28,6.46,542.24,Loamy,Kharif,Kodagu,Malnad,pepper
87.27,40.43,48.43,29.7,55.1,6.19,669.05,Loamy,Kharif,Belagavi,North Karnataka,maize
112.06,41.03,69.34,20.05,73.93,6.29,487.31,Loamy,Kharif,Ramanagara,South Karnataka,mulberry
22.03,40.57,31.67,33.71,55.23,7.12,425.11,Black,Kharif,Vijayapura,North Karnataka,pigeonpeas
75.94,41.42,60.0,26.46,64.56,6.59,377.49,Black,Kharif,Bagalkote,North Karnataka,sunflower
106.82,47.48,152.3,26.95,78.17,5.69,105.66,Laterite,Zaid,Dakshina Kannada,Coastal Karnataka,coconut
75.81,36.84,80.76,23.99,80.49,6.5,276.78,Alluvial,Rabi,Udupi,Coastal Karnataka,pepper
127.78,41.55,71.65,22.26,66.49,6.93,125.17,Loamy,Rabi,Hassan,Malnad,mulberry
80.0,47.21,60.0,25.12,50.47,7.3,203.29,Black,Rabi,Raichur,North Karnataka,maize
133.39,48.46,150.15,28.79,75.88,5.79,192.69,Laterite,Zaid,Udupi,Coastal Karnataka,arecanut
139.06,43.23,161.11,27.01,75.0,6.19,372.1,Red,Kharif,Dharwad,North Karnataka,banana
54.41,28.58,40.0,22.65,64.41,6.33,289.88,Loamy,Kharif,Mysuru,South Karnataka,ragi
75.63,24.12,112.55,24.28,60.0,6.35,354.61,Sandy,Kharif,Chikkaballapura,South Karnataka,mango
96.21,44.79,119.96,27.36,71.0,5.82,138.22,Laterite,Zaid,Shivamogga,Malnad,cardamom
40.0,24.58,37.5,27.32,61.79,6.1,377.83,Red,Kharif,Vijayapura,North Karnataka,jowar
144.9,47.7,174.85,29.92,81.91,6.15,100.52,Red,Zaid,Dharwad,North Karnataka,banana
65.56,39.54,68.6,27.43,79.88,6.5,189.94,Alluvial,Rabi,Uttara Kannada,Coastal Karnataka,cashew
126.41,45.19,128.54,24.85,81.47,6.5,2416.79,Alluvial,Kharif,Uttara Kannada,Coastal Karnataka,arecanut
81.66,45.88,66.46,24.15,63.94,6.86,274.19,Alluvial,Kharif,Mysuru,South Karnataka,tomato
22.31,42.81,40.72,24.0,66.54,6.58,2398.48,Alluvial,Kharif,Uttara Kannada,Coastal Karnataka,kidneybeans
81.57,44.79,98.14,25.14,89.1,5.83,1398.72,Red,Kharif,Chikkamagaluru,Malnad,ginger
55.34,35.92,40.0,25.81,68.54,6.34,394.24,Loamy,Kharif,Ramanagara,South Karnataka,ragi
40.0,20.41,46.92,29.98,58.87,6.5,71.73,Red,Zaid,Bagalkote,North Karnataka,guava
106.02,40.31,129.77,29.64,77.25,6.72,176.15,Loamy,Zaid,Mysuru,South Karnataka,papaya
77.88,39.54,79.22,34.32,55.71,6.14,160.85,Loamy,Zaid,Mysuru,South Karnataka,mango
67.89,44.27,73.52,28.65,68.97,6.41,349.8,Red,Kharif,Koppala,North Karnataka,cotton
74.37,38.34,38.27,33.39,60.21,6.87,521.81,Black,Kharif,Kalaburagi,North Karnataka,jowar
16.64,49.43,38.51,22.65,51.62,7.17,174.72,Red,Rabi,Ballari,North Karnataka,pigeonpeas
112.25,65.4,173.5,27.94,88.22,5.75,3265.0,Laterite,Kharif,Dakshina Kannada,Coastal Karnataka,coconut
107.05,45.33,82.86,20.86,78.69,6.5,2238.5,Alluvial,Kharif,Shivamogga,Malnad,coffee
96.38,43.8,57.36,26.75,50.84,7.14,115.24,Loamy,Rabi,Belagavi,North Karnataka,chilli
113.98,47.91,175.06,24.94,78.54,6.57,224.78,Black,Rabi,Haveri,North Karnataka,banana
70.75,41.92,74.38,27.85,67.67,6.91,748.64,Black,Kharif,Haveri,North Karnataka,cotton
94.27,50.67,55.64,26.23,84.46,5.8,2208.55,Laterite,Kharif,Shivamogga,Malnad,rice
222.31,95.37,152.61,28.5,64.79,6.47,488.83,Red,Kharif,Raichur,North Karnataka,sugarcane
182.13,43.5,163.13,24.03,86.48,7.1,2971.47,Alluvial,Kharif,Udupi,Coastal Karnataka,coconut
72.3,21.27,56.91,21.15,57.02,6.86,188.42,Sandy,Rabi,Chitradurga,South Karnataka,guava
83.57,46.08,59.1,28.57,80.0,6.91,398.67,Alluvial,Kharif,Mandya,South Karnataka,rice
64.19,46.83,61.37,30.01,37.52,6.69,67.1,Black,Zaid,Ballari,North Karnataka,muskmelon
20.45,20.66,30.0,21.17,51.22,5.99,153.27,Red,Rabi,Mandya,South Karnataka,horsegram
68.75,48.06,60.0,20.98,51.88,7.21,160.25,Black,Rabi,Gadag,North Karnataka,sunflower
262.25,93.12,110.37,30.7,69.8,7.43,516.84,Loamy,Kharif,Davanagere,North Karnataka,sugarcane
176.44,49.88,188.77,23.69,76.54,6.5,111.72,Alluvial,Zaid,Dakshina Kannada,Coastal Karnataka,arecanut
45.32,36.99,47.7,22.38,61.65,6.95,323.98,Loamy,Rabi,Kolar,South Karnataka,sapota
23.54,41.93,31.99,27.57,77.67,6.45,412.38,Red,Kharif,Hassan,Malnad,blackgram
101.32,41.86,151.18,22.72,64.52,6.93,336.86,Alluvial,Kharif,Mandya,South Karnataka,papaya
61.6,49.71,37.73,27.4,58.12,6.12,447.59,Red,Kharif,Koppala,North Karnataka,bajra
